rep,method,contrast,d_hat,ci_low,ci_high,d_true
0,common_DL,1,-0.47654124360013783,-0.5891807765563263,-0.3639017106439494,-0.47984419726469013
0,common_DL,2,-0.850556482814603,-0.947357363606337,-0.7537556020228691,-0.7385648344140212
0,common_DL,3,0.3581756572861557,0.1895322095732423,0.5268191049990691,0.5430229466666565
0,common_DL,4,-0.5076997511187967,-0.6804020052500603,-0.3349974969875331,-0.26100773826068624
0,comp_specific,1,-0.4638390284085338,-0.590986799106205,-0.3366912577108626,-0.47984419726469013
0,comp_specific,2,-0.8452734030870781,-0.9452752367871918,-0.7452715693869644,-0.7385648344140212
0,comp_specific,3,0.3391081965909407,0.15823156587338066,0.5199848273085008,0.5430229466666565
0,comp_specific,4,-0.5203497152331933,-0.6996934457935573,-0.3410059846728293,-0.26100773826068624
0,adaptshrink,1,-0.46801813353078114,-0.5881871521817118,-0.34784911487985054,-0.47984419726469013
0,adaptshrink,2,-0.8461924927433562,-0.9446159773023328,-0.7477690081843795,-0.7385648344140212
0,adaptshrink,3,0.3562867064880065,0.1850979074871188,0.5274755054888942,0.5430229466666565
0,adaptshrink,4,-0.5083529117366297,-0.6824795057964078,-0.3342263176768515,-0.26100773826068624
0,adaptshrink_auto,1,-0.46801813353078114,-0.5881871521817118,-0.34784911487985054,-0.47984419726469013
0,adaptshrink_auto,2,-0.8461924927433562,-0.9446159773023328,-0.7477690081843795,-0.7385648344140212
0,adaptshrink_auto,3,0.3562867064880065,0.1850979074871188,0.5274755054888942,0.5430229466666565
0,adaptshrink_auto,4,-0.5083529117366297,-0.6824795057964078,-0.3342263176768515,-0.26100773826068624
1,common_DL,1,0.35144912375186627,0.22792952203271918,0.4749687254710133,0.5801944832908739
1,common_DL,2,-0.803817461771482,-0.9028356137262208,-0.7047993098167431,-0.6820236309017158
1,common_DL,3,-1.127985278789863,-1.2676406155136775,-0.9883299420660485,-0.8730054407555423
1,common_DL,4,-0.14956248383703097,-0.31532173089403426,0.01619676321997235,0.06937069830772365
1,comp_specific,1,0.3591826612582218,0.23494979462362353,0.48341552789282005,0.5801944832908739
1,comp_specific,2,-0.7990151067827571,-0.8965392121184846,-0.7014910014470296,-0.6820236309017158
1,comp_specific,3,-1.126838960976994,-1.273312914913744,-0.9803650070402439,-0.8730054407555423
1,comp_specific,4,-0.1513069654287537,-0.3592314248617514,0.05661749400424404,0.06937069830772365
1,adaptshrink,1,0.3551658989438301,0.23192499986976722,0.478406798017893,0.5801944832908739
1,adaptshrink,2,-0.8020267677163162,-0.899493127095958,-0.7045604083366744,-0.6820236309017158
1,adaptshrink,3,-1.12914117261986,-1.271597384583879,-0.9866849606558408,-0.8730054407555423
1,adaptshrink,4,-0.15442102810929179,-0.34986709757626794,0.041025041357684366,0.06937069830772365
1,adaptshrink_auto,1,0.3551658989438301,0.23192499986976722,0.478406798017893,0.5801944832908739
1,adaptshrink_auto,2,-0.8020267677163162,-0.899493127095958,-0.7045604083366744,-0.6820236309017158
1,adaptshrink_auto,3,-1.12914117261986,-1.271597384583879,-0.9866849606558408,-0.8730054407555423
1,adaptshrink_auto,4,-0.15442102810929179,-0.34986709757626794,0.041025041357684366,0.06937069830772365
2,common_DL,1,-0.2782840848095889,-0.44144145555710484,-0.11512671406207292,-0.4201300159973277
2,common_DL,2,0.21054555352868945,0.07270770027802095,0.348383406779358,0.1463502418983874
2,common_DL,3,-1.0271367642465106,-1.1427424728439652,-0.9115310556490559,-1.0942927927080424
2,common_DL,4,0.36024346424510467,0.09285098155025967,0.6276359469399497,0.11190861734140273
2,comp_specific,1,-0.29181477067663886,-0.45470246346914145,-0.1289270778841363,-0.4201300159973277
2,comp_specific,2,0.20094128357377064,0.05037890856563171,0.3515036585819096,0.1463502418983874
